iter	Passed	Remaining
401	3259	4849
402	3276	4854
403	3282	4842
404	3295	4842
405	3297	4824
406	3311	4825
407	3315	4810
408	3323	4802
409	3325	4785
410	3326	4767
411	3329	4751
412	3330	4734
413	3341	4729
414	3343	4712
415	3344	4695
416	3346	4678
417	3412	4751
418	3425	4750
419	3427	4733
420	3429	4716
421	3435	4705
422	3437	4688
423	3438	4671
424	3476	4703
425	3478	4687
426	3481	4671
427	3514	4697
428	3517	4681
429	3519	4665
430	3530	4660
431	3531	4643
432	3534	4628
433	3545	4624
434	3548	4608
435	3550	4592
436	3562	4590
437	3565	4574
438	3566	4557
439	3573	4548
440	3575	4532
441	3577	4516
442	3578	4499
443	3580	4483
444	3581	4467
445	3583	4450
446	3598	4452
447	3632	4475
448	3648	4476
449	3695	4516
450	3697	4501
451	3745	4540
452	3757	4537
453	3760	4522
454	3762	4506
455	3776	4505
456	3778	4489
457	3780	4473
458	3810	4490
459	3811	4474
460	3813	4458
461	3820	4448
462	3821	4432
463	3823	4417
464	3837	4415
465	3839	4399
466	3841	4383
467	3854	4381
468	3857	4367
469	3871	4365
470	3872	4349
471	3883	4344
472	3885	4328
473	3886	4312
474	3887	4297
475	3889	4281
476	4051	4442
477	4072	4447
478	4082	4440
479	4085	4425
480	4089	4412
481	4098	4405
482	4101	4390
483	4103	4374
484	4105	4359
485	4115	4352
486	4118	4338
487	4120	4323
488	4126	4312
489	4128	4296
490	4129	4281
491	4131	4265
492	4133	4250
493	4135	4235
494	4147	4231
495	4149	4216
496	4151	4201
497	4167	4200
498	4177	4194
499	4179	4179
500	4180	4164
501	4183	4150
502	4197	4147
503	4199	4132
504	4209	4126
505	4211	4111
506	4215	4098
507	4224	4091
508	4227	4077
509	4229	4063
510	4244	4061
511	4246	4047
512	4247	4032
513	4257	4025
514	4259	4011
515	4260	3996
516	4262	3981
517	4263	3967
518	4265	3953
519	4266	3938
520	4267	3923
521	4269	3909
522	4280	3904
523	4282	3889
524	4283	3875
525	4284	3861
526	4290	3850
527	4291	3836
528	4293	3822
529	4294	3808
530	4295	3794
531	4296	3780
532	4298	3765
533	4299	3751
534	4300	3737
535	4310	3731
536	4312	3717
537	4313	3703
538	4314	3690
539	4315	3676
540	4326	3671
541	4328	3657
542	4329	3643
543	4330	3629
544	4331	3616
545	4339	3607
546	4340	3594
547	4341	3580
548	4342	3567
549	4343	3554
550	4345	3540
551	4346	3527
552	4347	3514
553	4354	3505
554	4356	3492
555	4357	3479
556	4358	3466
557	4359	3453
558	4361	3440
559	4362	3427
560	4366	3416
561	4367	3403
562	4368	3390
563	4369	3378
564	4371	3365
565	4372	3352
566	4373	3339
567	4374	3327
568	4375	3314
569	4376	3301
570	4378	3289
571	4388	3283
572	4389	3271
573	4391	3259
574	4393	3247
575	4408	3245
576	4409	3232
577	4415	3224
578	4417	3211
579	4418	3199
580	4419	3187
581	4420	3175
582	4421	3162
583	4423	3150
584	4424	3138
585	4433	3132
586	4435	3120
587	4436	3108
588	4438	3097
589	4439	3085
590	4440	3073
591	4442	3061
592	4444	3050
593	4445	3038
594	4446	3026
595	4448	3015
596	4449	3003
597	4451	2992
598	4452	2980
599	4453	2969
600	4464	2963
601	4466	2952
602	4467	2941
603	4468	2929
604	4469	2918
605	4476	2910
606	4478	2899
607	4480	2888
608	4481	2877
609	4482	2866
610	4483	2854
611	4485	2843
612	4496	2838
613	4497	2827
614	4499	2816
615	4501	2806
616	4507	2798
617	4509	2787
618	4510	2776
619	4511	2765
620	4512	2754
621	4514	2743
622	4516	2732
623	4525	2727
624	4527	2716
625	4528	2705
626	4529	2694
627	4531	2684
628	4532	2673
629	4542	2667
630	4543	2657
631	4545	2646
632	4546	2635
633	4547	2625
634	4557	2619
635	4560	2609
636	4561	2599
637	4563	2589
638	4580	2587
639	4592	2583
640	4595	2573
641	4597	2563
642	4598	2553
643	4601	2543
644	4602	2533
645	4616	2529
646	4619	2520
647	4634	2517
648	4648	2514
649	4650	2504
650	4665	2500
651	4667	2490
652	4677	2485
653	4679	2475
654	4680	2465
655	4682	2455
656	4683	2445
657	4685	2435
658	4686	2425
659	4688	2415
660	4689	2405
661	4690	2395
662	4705	2391
663	4706	2381
664	4707	2371
665	4720	2367
666	4721	2357
667	4723	2347
668	4724	2337
669	4737	2333
670	4738	2323
671	4739	2313
672	4754	2309
673	4756	2300
674	4759	2291
675	4761	2282
676	4771	2276
677	4772	2266
678	4774	2256
679	4775	2247
680	4776	2237
681	4791	2234
682	4808	2231
683	4836	2234
684	4855	2232
685	4857	2223
686	4868	2217
687	4869	2208
688	4870	2198
689	4872	2188
690	4873	2179
691	4874	2169
692	4884	2164
693	4886	2154
694	4887	2145
695	4889	2135
696	4890	2126
697	4896	2118
698	4897	2108
699	4898	2099
700	4900	2090
701	4901	2080
